Substance_SID,Compound_CID,Data_Source,External_ID,Synonyms,Last_Modified_Date,Deposit_Date,Data_Source_Category
440791231,5732,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00164,zolpidem,20210312,20210312,Curation Efforts|Governmental Organizations
440791230,60857,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01010,zolmitriptan,20210312,20210312,Curation Efforts|Governmental Organizations
440791229,5311497,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00262,vinorelbine,20231222,20210312,Curation Efforts|Governmental Organizations
440791228,5665,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00969,vigabatrin,20231222,20210312,Curation Efforts|Governmental Organizations
440791227,5362420,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01075,VERTEPORFIN,20231222,20210312,Curation Efforts|Governmental Organizations
440791226,135400189,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01135,Vardenafil,20210312,20210312,Curation Efforts|Governmental Organizations
440791225,135413535,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01109,Valganciclovir,20231222,20210312,Curation Efforts|Governmental Organizations
440791224,6503,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00213,TROMETHAMINE,20250421,20210312,Curation Efforts|Governmental Organizations
440791223,5584,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01844,trimipramine,20231222,20210312,Curation Efforts|Governmental Organizations
440791222,5577,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01841,trimethobenzamide,20210312,20210312,Curation Efforts|Governmental Organizations
440791221,5556,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01834,triazolam,20231222,20210312,Curation Efforts|Governmental Organizations
440791220,33741,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01827,Tramadol,20210312,20210312,Curation Efforts|Governmental Organizations
440791219,5505,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00453,tolbutamide,20250421,20210312,Curation Efforts|Governmental Organizations
440791218,"",Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00973,Tinzaparin,20210312,20210312,Curation Efforts|Governmental Organizations
440791217,33624,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01815,timolol,20231222,20210312,Curation Efforts|Governmental Organizations
440791216,60648,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00989,tiagabine,20210312,20210312,Curation Efforts|Governmental Organizations
440791215,6018,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01239,TETRABENAZINE,20231222,20210312,Curation Efforts|Governmental Organizations
440791214,135409453,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00485,Tegaserod,20210312,20210312,Curation Efforts|Governmental Organizations
440791213,110635,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01129,Tadalafil,20210312,20210312,Curation Efforts|Governmental Organizations
440791212,5358,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01779,sumatriptan,20210312,20210312,Curation Efforts|Governmental Organizations
440791211,15541,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01757,Spectinomycin,20210312,20210312,Curation Efforts|Governmental Organizations
440791210,5253,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00627,sotalol,20250421,20210312,Curation Efforts|Governmental Organizations
440791209,154059,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01191,Solifenacin,20250421,20210312,Curation Efforts|Governmental Organizations
440791208,5312125,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00656,Silodosin,20231222,20210312,Curation Efforts|Governmental Organizations
440791207,"",Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00463,Sacrosidase,20210312,20210312,Curation Efforts|Governmental Organizations
440791206,5245,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01020,Risedronate,20231222,20210312,Curation Efforts|Governmental Organizations
440791205,6436173,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01128,Rifaximin,20231222,20210312,Curation Efforts|Governmental Organizations
440791204,37542,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01730,ribavirin,20231222,20210312,Curation Efforts|Governmental Organizations
440791203,3052776,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01204,rasagiline,20231222,20210312,Curation Efforts|Governmental Organizations
440791202,4911,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01698,probenecid,20210312,20210312,Curation Efforts|Governmental Organizations
440791201,4893,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00435,prazosin,20231222,20210312,Curation Efforts|Governmental Organizations
