Substance_SID,Compound_CID,Data_Source,External_ID,Synonyms,Last_Modified_Date,Deposit_Date,Data_Source_Category,LTKBID,Compound Name,Severity Class,Label Section,vDILIConcern,Version
440791231,5732.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00164,zolpidem,20210312,20210312,Curation Efforts|Governmental Organizations,LT00164,zolpidem,7.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791230,60857.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01010,zolmitriptan,20210312,20210312,Curation Efforts|Governmental Organizations,LT01010,zolmitriptan,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791229,5311497.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00262,vinorelbine,20231222,20210312,Curation Efforts|Governmental Organizations,LT00262,vinorelbine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791228,5665.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00969,vigabatrin,20231222,20210312,Curation Efforts|Governmental Organizations,LT00969,vigabatrin,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791227,5362420.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01075,VERTEPORFIN,20231222,20210312,Curation Efforts|Governmental Organizations,LT01075,verteporfin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791226,135400189.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01135,Vardenafil,20210312,20210312,Curation Efforts|Governmental Organizations,LT01135,vardenafil,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791225,135413535.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01109,Valganciclovir,20231222,20210312,Curation Efforts|Governmental Organizations,LT01109,valganciclovir,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791224,6503.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00213,TROMETHAMINE,20250421,20210312,Curation Efforts|Governmental Organizations,LT00213,tromethamine,6.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791223,5584.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01844,trimipramine,20231222,20210312,Curation Efforts|Governmental Organizations,LT01844,trimipramine,2.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791222,5577.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01841,trimethobenzamide,20210312,20210312,Curation Efforts|Governmental Organizations,LT01841,trimethobenzamide,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791221,5556.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01834,triazolam,20231222,20210312,Curation Efforts|Governmental Organizations,LT01834,triazolam,4.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791220,33741.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01827,Tramadol,20210312,20210312,Curation Efforts|Governmental Organizations,LT01827,tramadol,7.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791219,5505.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00453,tolbutamide,20250421,20210312,Curation Efforts|Governmental Organizations,LT00453,tolbutamide,2.0,Adverse reactions,Ambiguous DILI-concern,1.0
440791218,,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00973,Tinzaparin,20210312,20210312,Curation Efforts|Governmental Organizations,LT00973,tinzaparin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791217,33624.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01815,timolol,20231222,20210312,Curation Efforts|Governmental Organizations,LT01815,timolol,5.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791216,60648.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00989,tiagabine,20210312,20210312,Curation Efforts|Governmental Organizations,LT00989,tiagabine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791215,6018.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01239,TETRABENAZINE,20231222,20210312,Curation Efforts|Governmental Organizations,LT01239,tetrabenazine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791214,135409453.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00485,Tegaserod,20210312,20210312,Curation Efforts|Governmental Organizations,LT00485,tegaserod,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791213,110635.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01129,Tadalafil,20210312,20210312,Curation Efforts|Governmental Organizations,LT01129,tadalafil,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791212,5358.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01779,sumatriptan,20210312,20210312,Curation Efforts|Governmental Organizations,LT01779,sumatriptan,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791211,15541.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01757,Spectinomycin,20210312,20210312,Curation Efforts|Governmental Organizations,LT01757,spectinomycin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791210,5253.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00627,sotalol,20250421,20210312,Curation Efforts|Governmental Organizations,LT00627,sotalol,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791209,154059.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01191,Solifenacin,20250421,20210312,Curation Efforts|Governmental Organizations,LT01191,solifenacin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791208,5312125.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00656,Silodosin,20231222,20210312,Curation Efforts|Governmental Organizations,LT00656,silodosin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791207,,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00463,Sacrosidase,20210312,20210312,Curation Efforts|Governmental Organizations,LT00463,sacrosidase,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791206,5245.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01020,Risedronate,20231222,20210312,Curation Efforts|Governmental Organizations,LT01020,risedronate,3.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791205,6436173.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01128,Rifaximin,20231222,20210312,Curation Efforts|Governmental Organizations,LT01128,rifaximin,7.0,Adverse reactions,Ambiguous DILI-concern,2.0
440791204,37542.0,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01730,ribavirin,20231222,20210312,Curation Efforts|Governmental Organizations,LT01730,ribavirin,7.0,Adverse reactions,Ambiguous DILI-concern,1.0
