Substance_SID,Compound_CID,Data_Source,External_ID,Synonyms,Last_Modified_Date,Deposit_Date,Data_Source_Category,LTKBID,Compound Name,Severity Class,Label Section,vDILIConcern,Version,PUBCHEM_COMPOUND_CID,PUBCHEM_COMPOUND_CANONICALIZED,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_CACTVS_SUBSKEYS,PUBCHEM_IUPAC_OPENEYE_NAME,PUBCHEM_IUPAC_CAS_NAME,PUBCHEM_IUPAC_NAME_MARKUP,PUBCHEM_IUPAC_NAME,PUBCHEM_IUPAC_SYSTEMATIC_NAME,PUBCHEM_IUPAC_TRADITIONAL_NAME,PUBCHEM_IUPAC_INCHI,PUBCHEM_IUPAC_INCHIKEY,PUBCHEM_XLOGP3,PUBCHEM_EXACT_MASS,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_CACTVS_TPSA,PUBCHEM_MONOISOTOPIC_WEIGHT,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,PUBCHEM_ATOM_DEF_STEREO_COUNT,PUBCHEM_ATOM_UDEF_STEREO_COUNT,PUBCHEM_BOND_DEF_STEREO_COUNT,PUBCHEM_BOND_UDEF_STEREO_COUNT,PUBCHEM_ISOTOPIC_ATOM_COUNT,PUBCHEM_COMPONENT_COUNT,PUBCHEM_CACTVS_TAUTO_COUNT,PUBCHEM_COORDINATE_TYPE,SMILES,PUBCHEM_XLOGP3_AA,PUBCHEM_BONDANNOTATIONS,PUBCHEM_NONSTANDARDBOND
440791231,5732,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00164,zolpidem,20210312,20210312,Curation Efforts|Governmental Organizations,LT00164,zolpidem,7.0,Adverse reactions,Ambiguous DILI-concern,2.0,5732,1.0,417.0,2.0,0.0,3.0,AAADceB7IAAAAAAAAAAAAAAAAAAAAWAAAAA8QAAAAAAAAFgB8AAAHgAAAAAADAjBnwQ/sJ8MGACoAzd3dACCgC0xEqAJ2CE4dJiIaPrA3ZGUIAhoggLIyCcciMCOQAAAAAAAAACAAAAAAAAAAAAAAAAAAA==,"N,N-dimethyl-2-[6-methyl-2-(p-tolyl)imidazo[1,2-a]pyridin-3-yl]acetamide","N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)-3-imidazo[1,2-a]pyridinyl]acetamide","<I>N</I>,<I>N</I>-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo[1,2-a]pyridin-3-yl]acetamide","N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo[1,2-a]pyridin-3-yl]acetamide","N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo[1,2-a]pyridin-3-yl]ethanamide","N,N-dimethyl-2-[6-methyl-2-(p-tolyl)imidazo[1,2-a]pyridin-3-yl]acetamide","InChI=1S/C19H21N3O/c1-13-5-8-15(9-6-13)19-16(11-18(23)21(3)4)22-12-14(2)7-10-17(22)20-19/h5-10,12H,11H2,1-4H3",ZAFYATHCZYHLPB-UHFFFAOYSA-N,2.5,307.168462302,C19H21N3O,307.4,37.6,307.168462302,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,,"10  11  8
11  14  8
12  14  8
15  19  8
16  20  8
18  19  8
18  20  8
2  10  8
2  5  8
2  7  8
3  6  8
3  7  8
5  6  8
7  12  8
9  15  8
9  16  8",
440791230,60857,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01010,zolmitriptan,20210312,20210312,Curation Efforts|Governmental Organizations,LT01010,zolmitriptan,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,60857,1.0,375.0,3.0,2.0,5.0,AAADceB7MAAAAAAAAAAAAAAAAAAAAWLAAAAwAAAAAAAAAFgB8AAAHgAQAAAADCjhngY+yPPJlACoAzRnXACCgCAxAiAI2aA4ZJkKIOLAkZGNIAhklgDYyAeQwOAOiAACAAACAAAQAAQAAAQAAAAAAAAAAA==,(4S)-4-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]oxazolidin-2-one,(4S)-4-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]-2-oxazolidinone,"(4<I>S</I>)-4-[[3-[2-(dimethylamino)ethyl]-1<I>H</I>-indol-5-yl]methyl]-1,3-oxazolidin-2-one","(4S)-4-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]-1,3-oxazolidin-2-one","(4S)-4-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]-1,3-oxazolidin-2-one",(4S)-4-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]oxazolidin-2-one,"InChI=1S/C16H21N3O2/c1-19(2)6-5-12-9-17-15-4-3-11(8-14(12)15)7-13-10-21-16(20)18-13/h3-4,8-9,13,17H,5-7,10H2,1-2H3,(H,18,20)/t13-/m0/s1",ULSDMUVEXKOYBU-ZDUSSCGKSA-N,,287.16337692,C16H21N3O2,287.36,57.4,287.16337692,0.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,2.2,"10  17  8
12  18  8
15  18  8
4  12  8
4  17  8
6  7  5
8  13  8
8  15  8
9  10  8
9  12  8
9  13  8",
440791229,5311497,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00262,vinorelbine,20231222,20210312,Curation Efforts|Governmental Organizations,LT00262,vinorelbine,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,5311497,1.0,1690.0,11.0,2.0,10.0,AAADcfB/vAAAAAAAAAAAAAAAAAAAAWLFgAAwYMECAAAWAFiB9AAAHgAQCAAAD3zhngYyzvPJlgCoAyTyTAKCiCAhIiAImSF+bJgPJv7E9ZuGcChn8Bnb6Af62fOfqAACAgAKAABQgAYECBSgAAAAAAAAAA==,"methyl (1R,9R,10S,11R,12R,19R)-11-acetoxy-12-ethyl-4-[(12S,14R)-16-ethyl-12-methoxycarbonyl-1,10-diazatetracyclo[12.3.1.03,11.04,9]octadeca-3(11),4,6,8,15-pentaen-12-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carboxylate","(1R,9R,10S,11R,12R,19R)-11-acetyloxy-12-ethyl-4-[(12S,14R)-16-ethyl-12-methoxycarbonyl-1,10-diazatetracyclo[12.3.1.03,11.04,9]octadeca-3(11),4,6,8,15-pentaen-12-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carboxylic acid methyl ester","methyl (1<I>R</I>,9<I>R</I>,10<I>S</I>,11<I>R</I>,12<I>R</I>,19<I>R</I>)-11-acetyloxy-12-ethyl-4-[(12<I>S</I>,14<I>R</I>)-16-ethyl-12-methoxycarbonyl-1,10-diazatetracyclo[12.3.1.0<SUP>3,11</SUP>.0<SUP>4,9</SUP>]octadeca-3(11),4,6,8,15-pentaen-12-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.0<SUP>1,9</SUP>.0<SUP>2,7</SUP>.0<SUP>16,19</SUP>]nonadeca-2,4,6,13-tetraene-10-carboxylate","methyl (1R,9R,10S,11R,12R,19R)-11-acetyloxy-12-ethyl-4-[(12S,14R)-16-ethyl-12-methoxycarbonyl-1,10-diazatetracyclo[12.3.1.03,11.04,9]octadeca-3(11),4,6,8,15-pentaen-12-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carboxylate","methyl (1R,9R,10S,11R,12R,19R)-11-acetyloxy-12-ethyl-4-[(12S,14R)-16-ethyl-12-methoxycarbonyl-1,10-diazatetracyclo[12.3.1.03,11.04,9]octadeca-3(11),4,6,8,15-pentaen-12-yl]-5-methoxy-8-methyl-10-oxidanyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carboxylate","(1R,9R,10S,11R,12R,19R)-11-acetoxy-4-[(12S,14R)-12-carbomethoxy-16-ethyl-1,10-diazatetracyclo[12.3.1.03,11.04,9]octadeca-3(11),4,6,8,15-pentaen-12-yl]-12-ethyl-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carboxylic acid methyl ester","InChI=1S/C45H54N4O8/c1-8-27-19-28-22-44(40(51)55-6,36-30(25-48(23-27)24-28)29-13-10-11-14-33(29)46-36)32-20-31-34(21-35(32)54-5)47(4)38-43(31)16-18-49-17-12-15-42(9-2,37(43)49)39(57-26(3)50)45(38,53)41(52)56-7/h10-15,19-21,28,37-39,46,53H,8-9,16-18,22-25H2,1-7H3/t28-,37-,38+,39+,42+,43+,44-,45-/m0/s1",GBABOYUKABKIAF-IELIFDKJSA-N,3.6,778.39416469,C45H54N4O8,778.9,134.0,778.39416469,0.0,57.0,8.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,,"19  1  6
11  37  8
11  48  8
13  18  6
14  58  5
15  22  5
16  59  6
17  2  6
20  23  8
20  28  8
23  30  8
28  32  8
30  33  8
32  33  8
34  38  5
37  42  8
39  82  6
42  47  8
47  48  8
47  51  8
48  52  8
51  55  8
52  56  8
55  56  8",
440791228,5665,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00969,vigabatrin,20231222,20210312,Curation Efforts|Governmental Organizations,LT00969,vigabatrin,2.0,Adverse reactions,Ambiguous DILI-concern,2.0,5665,1.0,112.0,3.0,2.0,4.0,AAADccBiMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACCjBgAQACABAAgCIACDSCACAAAAgAAAIAIEAAAgAABIAgQAAQAAEkAAAAACsAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,4-aminohex-5-enoic acid,4-amino-5-hexenoic acid,4-aminohex-5-enoic acid,4-aminohex-5-enoic acid,4-azanylhex-5-enoic acid,4-aminohex-5-enoic acid,"InChI=1S/C6H11NO2/c1-2-5(7)3-4-6(8)9/h2,5H,1,3-4,7H2,(H,8,9)",PJDFLNIOAUIZSL-UHFFFAOYSA-N,-2.2,129.078978594,C6H11NO2,129.16,63.3,129.078978594,0.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",C=CC(N)CCC(=O)O,,5  12  3,
440791227,5362420,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01075,VERTEPORFIN,20231222,20210312,Curation Efforts|Governmental Organizations,LT01075,verteporfin,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,5362420,1.0,1500.0,10.0,3.0,12.0,AAADcfB/vAAAAAAAAAAAAAAAAAAAAWLFiwAgAAAAAAAAAEAB/gAAHgAQCAAADwiBngIyyLLJlgCoAyTyTACCgCAhAiAImSEwZNgIJHLA8dGEdAhk0ADI6Yf/2fOfgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"3-[(23S,24R)-22,23-bis(methoxycarbonyl)-5-(3-methoxy-3-oxo-propyl)-4,10,15,24-tetramethyl-14-vinyl-25,26,27,28-tetrazahexacyclo[16.6.1.13,6.18,11.113,16.019,24]octacosa-1,3,5,7,9,11(27),12,14,16,18(25),19,21-dodecaen-9-yl]propanoic acid","3-[(23S,24R)-14-ethenyl-22,23-bis(methoxycarbonyl)-5-(3-methoxy-3-oxopropyl)-4,10,15,24-tetramethyl-25,26,27,28-tetrazahexacyclo[16.6.1.13,6.18,11.113,16.019,24]octacosa-1,3,5,7,9,11(27),12,14,16,18(25),19,21-dodecaen-9-yl]propanoic acid","3-[(23<I>S</I>,24<I>R</I>)-14-ethenyl-22,23-bis(methoxycarbonyl)-5-(3-methoxy-3-oxopropyl)-4,10,15,24-tetramethyl-25,26,27,28-tetrazahexacyclo[16.6.1.1<SUP>3,6</SUP>.1<SUP>8,11</SUP>.1<SUP>13,16</SUP>.0<SUP>19,24</SUP>]octacosa-1,3,5,7,9,11(27),12,14,16,18(25),19,21-dodecaen-9-yl]propanoic acid","3-[(23S,24R)-14-ethenyl-22,23-bis(methoxycarbonyl)-5-(3-methoxy-3-oxopropyl)-4,10,15,24-tetramethyl-25,26,27,28-tetrazahexacyclo[16.6.1.13,6.18,11.113,16.019,24]octacosa-1,3,5,7,9,11(27),12,14,16,18(25),19,21-dodecaen-9-yl]propanoic acid","3-[(23S,24R)-14-ethenyl-22,23-bis(methoxycarbonyl)-5-(3-methoxy-3-oxidanylidene-propyl)-4,10,15,24-tetramethyl-25,26,27,28-tetrazahexacyclo[16.6.1.13,6.18,11.113,16.019,24]octacosa-1,3,5,7,9,11(27),12,14,16,18(25),19,21-dodecaen-9-yl]propanoic acid","3-[(23S,24R)-22,23-dicarbomethoxy-5-(3-keto-3-methoxy-propyl)-4,10,15,24-tetramethyl-14-vinyl-25,26,27,28-tetrazahexacyclo[16.6.1.13,6.18,11.113,16.019,24]octacosa-1,3,5,7,9,11(27),12,14,16,18(25),19,21-dodecaen-9-yl]propionic acid","InChI=1S/C41H42N4O8/c1-9-23-20(2)29-17-34-27-13-10-26(39(49)52-7)38(40(50)53-8)41(27,5)35(45-34)19-30-22(4)25(12-15-37(48)51-6)33(44-30)18-32-24(11-14-36(46)47)21(3)28(43-32)16-31(23)42-29/h9-10,13,16-19,38,42,44H,1,11-12,14-15H2,2-8H3,(H,46,47)/t38-,41+/m0/s1",YTZALCGQUPRCGW-ZSFNYQMMSA-N,,718.30026431,C41H42N4O8,718.8,174.0,718.30026431,0.0,53.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)c(CCC(=O)OC)c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,4.9,"10  25  8
10  30  8
11  28  8
11  34  8
12  37  8
12  42  8
13  17  5
14  22  6
16  23  8
19  24  8
23  25  8
24  28  8
25  27  8
27  29  8
28  31  8
29  30  8
30  36  8
31  35  8
34  35  8
34  41  8
36  37  8
41  42  8
9  16  8
9  19  8",
440791226,135400189,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01135,Vardenafil,20210312,20210312,Curation Efforts|Governmental Organizations,LT01135,vardenafil,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,135400189,1.0,854.0,8.0,1.0,8.0,AAADcfB7uABAAAAAAAAAAAAAAAAAAWAAAAA8QIAAAAAAAEABwAAAHgQYQAAADAzh3wYzl5fIFAKoAydydHDSjD0nMKAdmBm+XNiMbrrE+TuWOajuzBPIqWeQwCAOAIAAgAAIAAABAAEAABAAAAAAAAAAAA==,"2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonyl-phenyl]-5-methyl-7-propyl-3H-imidazo[5,1-f][1,2,4]triazin-4-one","2-[2-ethoxy-5-[(4-ethyl-1-piperazinyl)sulfonyl]phenyl]-5-methyl-7-propyl-3H-imidazo[5,1-f][1,2,4]triazin-4-one","2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-methyl-7-propyl-3<I>H</I>-imidazo[5,1-f][1,2,4]triazin-4-one","2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-methyl-7-propyl-3H-imidazo[5,1-f][1,2,4]triazin-4-one","2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonyl-phenyl]-5-methyl-7-propyl-3H-imidazo[5,1-f][1,2,4]triazin-4-one","2-[2-ethoxy-5-(4-ethylpiperazino)sulfonyl-phenyl]-5-methyl-7-propyl-3H-imidazo[5,1-f][1,2,4]triazin-4-one","InChI=1S/C23H32N6O4S/c1-5-8-20-24-16(4)21-23(30)25-22(26-29(20)21)18-15-17(9-10-19(18)33-7-3)34(31,32)28-13-11-27(6-2)12-14-28/h9-10,15H,5-8,11-14H2,1-4H3,(H,25,26,30)",SECKRCOLJRRGGV-UHFFFAOYSA-N,,488.2205747,C23H32N6O4S,488.6,118.0,488.2205747,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,2.5,"10  24  8
11  26  8
11  28  8
17  19  8
17  20  8
19  21  8
20  23  8
21  22  8
22  23  8
25  28  8
25  29  8
8  10  8
8  25  8
8  26  8
9  24  8
9  29  8",
440791225,135413535,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01109,Valganciclovir,20231222,20210312,Curation Efforts|Governmental Organizations,LT01109,valganciclovir,3.0,Adverse reactions,Ambiguous DILI-concern,2.0,135413535,1.0,528.0,8.0,4.0,9.0,AAADceBzuAAAAAAAAAAAAAAAAAAAAWAAAAAgAAAAAAAAAEABgAAAHgAQCAAADTzhlgYHuBfMFgCoAQfxfACAgC0XEKABUIGoVECDWBhASCAfQIgNEQJDAGAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,[2-[(2-amino-6-oxo-1H-purin-9-yl)methoxy]-3-hydroxy-propyl] (2S)-2-amino-3-methyl-butanoate,(2S)-2-amino-3-methylbutanoic acid [2-[(2-amino-6-oxo-1H-purin-9-yl)methoxy]-3-hydroxypropyl] ester,[2-[(2-amino-6-oxo-1<I>H</I>-purin-9-yl)methoxy]-3-hydroxypropyl] (2<I>S</I>)-2-amino-3-methylbutanoate,[2-[(2-amino-6-oxo-1H-purin-9-yl)methoxy]-3-hydroxypropyl] (2S)-2-amino-3-methylbutanoate,[2-[(2-azanyl-6-oxidanylidene-1H-purin-9-yl)methoxy]-3-oxidanyl-propyl] (2S)-2-azanyl-3-methyl-butanoate,(2S)-2-amino-3-methyl-butyric acid [2-[(2-amino-6-keto-1H-purin-9-yl)methoxy]-3-hydroxy-propyl] ester,"InChI=1S/C14H22N6O5/c1-7(2)9(15)13(23)24-4-8(3-21)25-6-20-5-17-10-11(20)18-14(16)19-12(10)22/h5,7-9,21H,3-4,6,15H2,1-2H3,(H3,16,18,19,22)/t8?,9-/m0/s1",WPVFJKSGQUFQAP-GKAPJAKFSA-N,,354.16516782,C14H22N6O5,354.36,167.0,354.16516782,0.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21,-1.5,"10  24  8
10  25  8
14  28  3
21  22  8
22  24  8
6  21  8
6  23  8
13  7  6
8  22  8
8  23  8
9  21  8
9  25  8",
440791224,6503,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT00213,TROMETHAMINE,20250421,20210312,Curation Efforts|Governmental Organizations,LT00213,tromethamine,6.0,Adverse reactions,Ambiguous DILI-concern,2.0,6503,1.0,54.0,4.0,4.0,3.0,AAADccBiMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAADIihgAIAAABAAgAAAAAAAAAAAAAAAAAAAAAAAAACEAAAAAAAQAABEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"2-amino-2-(hydroxymethyl)propane-1,3-diol","2-amino-2-(hydroxymethyl)propane-1,3-diol","2-amino-2-(hydroxymethyl)propane-1,3-diol","2-amino-2-(hydroxymethyl)propane-1,3-diol","2-azanyl-2-(hydroxymethyl)propane-1,3-diol","2-amino-2-methylol-propane-1,3-diol","InChI=1S/C4H11NO3/c5-4(1-6,2-7)3-8/h6-8H,1-3,5H2",LENZDBCJOHFCAS-UHFFFAOYSA-N,,121.07389321,C4H11NO3,121.14,86.7,121.07389321,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",NC(CO)(CO)CO,-2.9,,
440791223,5584,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01844,trimipramine,20231222,20210312,Curation Efforts|Governmental Organizations,LT01844,trimipramine,2.0,Adverse reactions,Ambiguous DILI-concern,2.0,5584,1.0,317.0,2.0,0.0,4.0,AAADceB7AAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAABYAAAAABQAAAHAAAAAAADQjBGAQywIMAAACAAiRCQACCAAAhAgAIiAAIZIgIIGLA0ZGEIAhggADIyAcQgMAOAAAAAAACAAAAAAAAAAQAAAAAAAAAAA==,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N,2-trimethyl-propan-1-amine","3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N,2-trimethyl-1-propanamine","3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-<I>N</I>,<I>N</I>,2-trimethylpropan-1-amine","3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N,2-trimethylpropan-1-amine","3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N,2-trimethyl-propan-1-amine","[3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-2-methyl-propyl]-dimethyl-amine","InChI=1S/C20H26N2/c1-16(14-21(2)3)15-22-19-10-6-4-8-17(19)12-13-18-9-5-7-11-20(18)22/h4-11,16H,12-15H2,1-3H3",ZSCDBOWYZJWBIY-UHFFFAOYSA-N,5.8,294.209598838,C20H26N2,294.4,6.5,294.209598838,0.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,,"10  15  8
11  16  8
13  17  8
14  18  8
15  19  8
16  20  8
17  19  8
18  20  8
3  12  3
5  10  8
5  13  8
6  11  8
6  14  8",
440791222,5577,Drug Induced Liver Injury Rank (DILIrank) Dataset,LT01841,trimethobenzamide,20210312,20210312,Curation Efforts|Governmental Organizations,LT01841,trimethobenzamide,5.0,Adverse reactions,Ambiguous DILI-concern,2.0,5577,1.0,440.0,6.0,1.0,10.0,AAADceB7OAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAHgAQAAAADAThmAYyBoPABACIAiFSEACCCAAkIAAIiIEOjMgPJzKEtRuHOSrlxhWaqYe6/B7OIAABCAAAQABAAAIQAACAAAAAAAAAAA==,"N-[[4-[2-(dimethylamino)ethoxy]phenyl]methyl]-3,4,5-trimethoxy-benzamide","N-[[4-[2-(dimethylamino)ethoxy]phenyl]methyl]-3,4,5-trimethoxybenzamide","<I>N</I>-[[4-[2-(dimethylamino)ethoxy]phenyl]methyl]-3,4,5-trimethoxybenzamide","N-[[4-[2-(dimethylamino)ethoxy]phenyl]methyl]-3,4,5-trimethoxybenzamide","N-[[4-[2-(dimethylamino)ethoxy]phenyl]methyl]-3,4,5-trimethoxy-benzamide","N-[4-[2-(dimethylamino)ethoxy]benzyl]-3,4,5-trimethoxy-benzamide","InChI=1S/C21H28N2O5/c1-23(2)10-11-28-17-8-6-15(7-9-17)14-22-21(24)16-12-18(25-3)20(27-5)19(13-16)26-4/h6-9,12-13H,10-11,14H2,1-5H3,(H,22,24)",FEZBIKUBAYAZIU-UHFFFAOYSA-N,2.3,388.199822,C21H28N2O5,388.5,69.3,388.199822,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,"1
5
255",COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,,"12  16  8
12  17  8
13  19  8
13  20  8
14  16  8
15  17  8
19  22  8
20  21  8
21  23  8
22  23  8
9  14  8
9  15  8",
